Montg,TOPIX,A,B,C,D,E
2013/03,1034.71,523969005204,324679340700,1325050517630,727175000000,340643520000
2013/04,1165.13,699533825760,432184277954,1433323128020,770304000000,378005280000
2013/05,1135.78,702940646340,356425765124,1404966015775,736202000000,372288000000
2013/06,1133.84,676594567188,371577467690,1412699773660,759271000000,365640000000
2013/07,1131.7,689313364020,378071054504,1356960148005,770304000000,361385280000
2013/08,1106.05,699533825760,404045401760,1283951160450,742220000000,342637920000
2013/09,1194.1,805145263740,422804652556,1354442596710,771307000000,360055680000
2013/10,1194.26,849433931280,452386548042,1339337288940,789361000000,361119360000
2013/11,1258.66,957316582980,398994834238,1283951160450,753253000000,374681280000
2013/12,1302.29,1054978772940,432184277954,1304091570810,789361000000,357263520000
2014/01,1220.64,928926411480,440842393706,1288986263040,750244000000,356864640000
2014/02,1211.66,970943865300,449500509458,1283951160450,708118000000,361651200000
2014/03,1202.89,967537044720,419918613972,1319196878580,732190000000,369229920000
2014/04,1162.44,819908152920,475474856714,1346889942825,712130000000,376143840000
2014/05,1201.41,867603641040,492069578572,1450109545920,733193000000,382658880000
2014/06,1262.56,969808258440,521651474058,1490390366640,762280000000,378271200000
2014/07,1289.42,1052707559220,548347330960,1450939528935,776322000000,344765280000
2014/08,1277.97,1023181780860,572878658924,1446045972345,749241000000,341042400000
2014/09,1326.29,1131064432560,541853744146,1509662208015,769301000000,360720480000
2014/10,1333.64,1176488706960,548347330960,1556150995620,753253000000,361651200000
2014/11,1410.34,1253709973440,533917138040,1583065556865,734196000000,360853440000
2014/12,1407.51,1184818402400,564942052818,1595299448340,731187000000,349684800000
2015/01,1415.07,1033726881360,541853744146,1727425476270,774316000000,343169760000
2015/02,1523.85,1147860764160,589473380782,1781254598760,784346000000,350881440000
2015/03,1543.11,1178296466240,562777523880,1849764391020,835499000000,353540640000
2015/04,1592.79,1200036253440,579372245738,1695617358435,864586000000,345031200000
2015/05,1673.65,1258733678880,588030361490,1683383466960,870604000000,345828960000
2015/06,1630.4,1156556679040,644308113878,1590405891750,840514000000,343701600000
2015/07,1659.52,1057640647280,689041711930,1639341457650,925769000000,351014400000
2015/08,1537.05,991334296320,757585128300,1589064009585,868598000000,355003200000
2015/09,1411.16,779371371120,734496819628,1385337854510,883643000000,357529440000
2015/10,1558.2,877200413520,767686263344,1442860533590,901697000000,380132640000
2015/11,1580.25,983725370800,820356467502,1409305637460,937805000000,397550400000
2015/12,1547.3,883722349680,807369293874,1368560406445,987955000000,348355200000
2016/01,1432.07,660060960620,777787398388,1318228062250,946832000000,316710720000
2016/02,1297.85,638237227076,742433425734,1248721491695,872610000000,349418880000
2016/03,1347.2,716759876200,800875707060,1258308604875,944826000000,354471360000
2016/04,1340.55,761691092320,779951927326,1162437473075,852550000000,354737280000
2016/05,1379.8,763830674040,842001756882,1073756676160,879631000000,387046560000
2016/06,1245.82,708201549320,782837965910,1006646883900,819451000000,371623200000
2016/07,1322.74,736016111680,814584390334,1052185671505,793373000000,416829600000
2016/08,1329.54,750993183720,689041711930,1022468194980,728178000000,379733760000
2016/09,1322.78,771319210060,719345117062,1031679620160,799391000000,396220800000
2016/10,1393.02,862251433160,730889271398,1096159596420,800394000000,401539200000
2016/11,1469.43,902903485840,785002494848,1149125291205,794376000000,418159200000
2016/12,1518.61,959602401420,805926274582,1218210980055,823463000000,406857600000
2017/01,1521.67,991696127220,776344379096,1151428147500,826472000000,394758240000
2017/02,1535.32,1033417970760,753256070424,1174456710450,777325000000,425472000000
2017/03,1512.6,1045185670220,751091541486,1167548141565,757265000000,432120000000
2017/04,1531.8,998114872380,779951927326,1192879560810,742220000000,456717600000
2017/05,1568.37,990626336360,883127806704,1324142369625,757265000000,527186400000
2017/06,1611.9,1043046088500,953114242366,1344868076280,788358000000,573057600000
2017/07,1618.61,1178909527720,958164809888,1339864282575,753253000000,596325600000
2017/08,1617.41,1181049109440,935798010862,1335283549985,741217000000,649509600000
2017/09,1674.75,1225980325560,973316512454,1263366048322,747235000000,662140800000
2017/10,1765.96,1352215647040,1067834276080,1292224663639,742220000000,647515200000
2017/11,1792.08,1418542680360,1047632005992,1207023037465,776322000000,652168800000
2017/12,1817.56,1437798915840,984139157144,1181370934961,751247000000,658816800000
2018/01,1836.71,1457055151320,946620655552,1187783960587,740214000000,652833600000
2018/02,1768.24,1360773973920,875912710244,1229926700415,701097000000,634884000000
2018/03,1716.3,1339378156720,839837227944,1292682736898,727175000000,662140800000
